index,exclude_genes,E_pop,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
RPS11,False,11.184726892764722,False,2.129176174776281,0.3606098749856801,0.30801213,0,False
ELMO2,True,5.333367409098026,False,0.572252992156511,1.2527870742383933,0.6186464,0,False
PNMA1,True,4.939749473145799,False,0.41995013885021015,1.3130217366473418,0.7024292,0,False
MMP2,True,4.436612736031506,False,0.1879196938759885,1.4164736170242636,0.8257071,0,False
TMEM216,True,4.937867642529705,False,0.36282616837577447,1.5075356022458664,1.1052239,0,False
TRAF3IP2-AS1,True,4.630229378052329,False,0.8107794256265968,-0.08532566915393536,-1.8226645,0,False
ERCC5,True,4.989449393312597,False,0.5103455282485563,1.2752609773598913,0.6770157,0,False
PDCL3,True,5.926308962666116,False,0.6708678867554866,1.3648403074103137,0.8292103,0,False
AEN,True,5.018984663856831,False,0.4807221655266821,1.2939648555086283,0.68685323,0,False
DECR1,True,6.9546223326770935,False,0.9416629953158595,1.3169400460274945,0.79419136,0,False
RPS18,False,12.512562338712927,False,2.292100450166936,0.32229495212505954,0.7422921,1,False
BRIX1,True,5.663696597442376,False,0.5777558806718038,1.3296497742490327,0.7524344,0,False
LMAN1,True,4.811995941964766,False,0.5435509615562264,0.9575577550557155,0.093224175,0,False
SUMO1,True,7.179318431073141,False,1.1269627164592562,1.1447995114258829,0.3920942,0,False
UQCR11,True,7.211307077520753,False,1.2690089510188325,0.915978892736032,-0.20795403,0,False
DDB1,True,5.94897497682312,False,0.7951612756055286,0.9789757356577105,0.1408821,0,False
CRNKL1,True,4.0886377083013254,False,0.3672582950063908,1.174899927136936,0.4237736,0,False
UTY,True,4.368322668347592,False,0.5087821030460542,0.8655577652704484,-0.11020185,0,False
DTNBP1,True,4.801677541137059,False,0.38146235016140895,1.3228227818322469,0.7332675,0,False
MIER1,True,4.992051478461624,False,0.6839413911138681,0.9593570217234821,0.086188756,0,False
TOB2,True,4.00106305620742,False,0.38890438795733107,0.9060712156949291,-0.115246065,0,False
INIP,True,5.5671998281777615,False,0.9391595212346957,0.28954641635968553,-1.1684388,0,False
BANK1,True,5.960237251513631,True,0.476671611429202,1.811893191827062,1.7026417,2,True
PROSC,True,5.246080095723764,False,0.5649524759417561,1.2074195733060267,0.5214115,0,False
SPIN2B,True,4.04148248902878,False,0.22563943403035974,1.4069762249402498,0.86195254,0,False
PIR,True,5.862481071608301,False,0.5213783645387376,1.3710605719553768,0.76213604,0,False
IPO9,True,4.302709592159292,False,0.657390022864283,0.14501793161956456,-1.4739912,0,False
CXCL13,True,8.566340798762358,True,0.5869743130028976,1.9881504281788231,2.0509093,2,True
SORL1,True,4.471068772395478,False,0.48741167404624786,1.1839512725678167,0.50474584,0,False
NAT10,True,4.538973379073353,False,0.41351595089793314,1.1643292414970579,0.43652707,0,False
SERPINF1,True,7.23057201677619,False,0.5787589404975173,1.5695520214002754,1.1949251,0,False
