"cells","samples","cell.types","treatment.group","Cohort","no.of.genes","no.of.reads"
"cy78_CD45_neg_1_B04_S496_comb","Mel78","Mal","post.treatment","Tirosh",8258,357919
"cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb","Mel79","Mal","treatment.naive","Tirosh",2047,5727
"CY88_5_B10_S694_comb","Mel88","Mal","post.treatment","Tirosh",5375,139218
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb","Mel79","Mal","treatment.naive","Tirosh",5648,73996
"cy78_CD45_neg_3_H06_S762_comb","Mel78","Mal","post.treatment","Tirosh",7409,380341
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb","Mel79","Mal","treatment.naive","Tirosh",6988,92485
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb","Mel79","Mal","treatment.naive","Tirosh",5195,63696
"CY88_3_D02_S614_comb","Mel88","Mal","post.treatment","Tirosh",7345,494895
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb","Mel79","Mal","treatment.naive","Tirosh",4847,60074
"cy53_1_CD45_neg_C06_S318_comb","Mel53","Mal","treatment.naive","Tirosh",4467,97098
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb","Mel79","Mal","treatment.naive","Tirosh",3968,37095
"Cy71_CD45_D08_S524_comb","Mel71","Mal","treatment.naive","Tirosh",4660,143878
"Cy81_FNA_CD45_B01_S301_comb","Mel81","Mal","treatment.naive","Tirosh",6387,195829
"CY88_5_B06_S690_comb","Mel88","Mal","post.treatment","Tirosh",6987,387883
"cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb","Mel79","Mal","treatment.naive","Tirosh",5197,590351
"Cy80_II_CD45_B07_S883_comb","Mel80","Mal","treatment.naive","Tirosh",5913,103997
"cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb","Mel79","Mal","treatment.naive","Tirosh",4855,128141
"Cy81_Bulk_CD45_B10_S118_comb","Mel81","Mal","treatment.naive","Tirosh",8366,561231
"cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb","Mel79","Mal","treatment.naive","Tirosh",2394,10669
"CY88_3_F01_S637_comb","Mel88","Mal","post.treatment","Tirosh",6010,254178
"CY88_3_C01_S601_comb","Mel88","Mal","post.treatment","Tirosh",6332,402959
"CY89NEG_E07_S55_comb","Mel89","Mal","treatment.naive","Tirosh",7752,561966
"CY89CORE11_G02_S170_comb","Mel89","Mal","treatment.naive","Tirosh",6591,408607
"cy78_CD45_neg_1_D07_S523_comb","Mel78","Mal","post.treatment","Tirosh",8548,394632
"cy78_CD45_neg_3_D01_S709_comb","Mel78","Mal","post.treatment","Tirosh",8472,425938
"cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb","Mel79","Mal","treatment.naive","Tirosh",6065,176919
"Cy71_CD45_B05_S497_comb","Mel71","Mal","treatment.naive","Tirosh",4721,23926
"Cy80_II_CD45_C09_S897_comb","Mel80","Mal","treatment.naive","Tirosh",6021,310389
"cy81_FNA_CD45_neg_D04_S1000_comb","Mel81","Mal","treatment.naive","Tirosh",9551,227393
"cy82_CD45_pos_2_H12_S576_comb","Mel82","Macrophage","treatment.naive","Tirosh",4431,12102
"cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb","Mel79","Mal","treatment.naive","Tirosh",6717,441424
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb","Mel79","Mal","treatment.naive","Tirosh",4758,33564
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb","Mel79","Mal","treatment.naive","Tirosh",2862,63175
"cy80_CD45_neg_G01_S937_comb","Mel80","Mal","treatment.naive","Tirosh",7453,154339
"cy78_CD45_neg_2_B08_S596_comb","Mel78","Mal","post.treatment","Tirosh",6475,70466
"cy78_CD45_neg_1_E02_S530_comb","Mel78","Mal","post.treatment","Tirosh",7690,369174
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb","Mel79","Mal","treatment.naive","Tirosh",5376,73999
"CY89CORE11_A11_S107_comb","Mel89","Mal","treatment.naive","Tirosh",6825,464978
"cy78_CD45_neg_3_B02_S686_comb","Mel78","Mal","post.treatment","Tirosh",7586,315886
"cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb","Mel79","Mal","treatment.naive","Tirosh",3715,63501
"cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb","Mel79","Mal","treatment.naive","Tirosh",4702,112991
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb","Mel79","Mal","treatment.naive","Tirosh",5901,112405
"cy81_Bulk_CD45_neg_A10_S106_comb","Mel81","Mal","treatment.naive","Tirosh",5266,54399
"cy53_1_CD45_neg_E04_S340_comb","Mel53","Mal","treatment.naive","Tirosh",4653,44271
"cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb","Mel79","Mal","treatment.naive","Tirosh",4608,82513
"cy78_CD45_neg_3_D04_S712_comb","Mel78","Mal","post.treatment","Tirosh",7933,627292
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb","Mel79","Mal","treatment.naive","Tirosh",6014,115465
"cy81_FNA_CD45_neg_B01_S973_comb","Mel81","Mal","treatment.naive","Tirosh",6667,186354
"Cy81_FNA_CD45_E05_S341_comb","Mel81","Mal","treatment.naive","Tirosh",7719,145124
"cy78_CD45_neg_3_E02_S722_comb","Mel78","Mal","post.treatment","Tirosh",7418,440587
"cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb","Mel79","Mal","treatment.naive","Tirosh",8336,64660
"cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb","Mel79","Mal","treatment.naive","Tirosh",4068,23215
"cy78_CD45_neg_3_D10_S718_comb","Mel78","Mal","post.treatment","Tirosh",3602,22809
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb","Mel79","Mal","treatment.naive","Tirosh",6932,70246
"cy78_CD45_neg_1_G05_S557_comb","Mel78","Mal","post.treatment","Tirosh",8934,610041
"CY88_5_C12_S708_comb","Mel88","Mal","post.treatment","Tirosh",6563,211840
"cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb","Mel79","Mal","treatment.naive","Tirosh",5283,74642
"Cy81_Bulk_CD45_E10_S154_comb","Mel81","Mal","treatment.naive","Tirosh",7468,320723
"CY88CD45_150813_G04_S364_comb","Mel88","Mal","post.treatment","Tirosh",8227,1236328
"Cy80_II_CD45_H07_S955_comb","Mel80","Mal","treatment.naive","Tirosh",4020,125438
"cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb","Mel79","Mal","treatment.naive","Tirosh",4826,158817
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb","Mel79","Mal","treatment.naive","Tirosh",5702,101410
"cy82_CD45_pos_3_A03_S3_comb","Mel82","?","treatment.naive","Tirosh",2967,56984
"cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb","Mel79","Mal","treatment.naive","Tirosh",3106,19208
"cy78_CD45_neg_3_G11_S755_comb","Mel78","Mal","post.treatment","Tirosh",7916,741227
"Cy81_FNA_CD45_D09_S333_comb","Mel81","Mal","treatment.naive","Tirosh",5345,168749
"cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb","Mel79","Mal","treatment.naive","Tirosh",4349,278476
"Cy71_CD45_E12_S540_comb","Mel71","Mal","treatment.naive","Tirosh",4534,174886
"cy94_cd45neg_cd90pos_G07_S367_comb","Mel94","Mal","post.treatment","Tirosh",4627,473670
"cy78_CD45_neg_1_H01_S565_comb","Mel78","Mal","post.treatment","Tirosh",8927,718738
"CY89CORE11_F05_S161_comb","Mel89","Mal","treatment.naive","Tirosh",7496,373962
"CY89NEG_C03_S27_comb","Mel89","Mal","treatment.naive","Tirosh",6231,435115
"cy81_Bulk_CD45_neg_G01_S169_comb","Mel81","Mal","treatment.naive","Tirosh",6553,291115
"CY89CORE11_B10_S118_comb","Mel89","Mal","treatment.naive","Tirosh",6668,380657
"cy78_CD45_neg_1_C02_S506_comb","Mel78","Mal","post.treatment","Tirosh",4651,68504
"CY88_5_G04_S748_comb","Mel88","Mal","post.treatment","Tirosh",4793,99459
"cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb","Mel79","Mal","treatment.naive","Tirosh",5566,1055340
"CY88_3_F05_S641_comb","Mel88","Mal","post.treatment","Tirosh",3891,112942
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb","Mel79","Mal","treatment.naive","Tirosh",5465,71842
"Cy71_CD45_G02_S554_comb","Mel71","Mal","treatment.naive","Tirosh",4063,138876
"cy78_CD45_neg_1_A05_S485_comb","Mel78","Mal","post.treatment","Tirosh",7402,226684
"cy81_Bulk_CD45_neg_C03_S123_comb","Mel81","Mal","treatment.naive","Tirosh",5958,232939
"cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb","Mel79","Mal","treatment.naive","Tirosh",3950,97413
"cy94_cd45neg_cd90pos_E08_S344_comb","Mel94","Mal","post.treatment","Tirosh",6592,1274757
"cy81_FNA_CD45_neg_C09_S993_comb","Mel81","Mal","treatment.naive","Tirosh",10092,319964
"cy80_CD45_neg_G04_S940_comb","Mel80","Mal","treatment.naive","Tirosh",7840,146596
"Cy80_II_CD45_H09_S957_comb","Mel80","Mal","treatment.naive","Tirosh",6570,188204
"cy80_CD45_neg_A09_S873_comb","Mel80","Mal","treatment.naive","Tirosh",6953,130159
"CY88_3_H11_S671_comb","Mel88","Mal","post.treatment","Tirosh",6898,342938
"Cy80_II_CD45_B11_S887_comb","Mel80","Mal","treatment.naive","Tirosh",6395,194184
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb","Mel79","Mal","treatment.naive","Tirosh",3791,36347
"CY89NEG_B03_S15_comb","Mel89","Mal","treatment.naive","Tirosh",6231,466118
"Cy81_Bulk_CD45_E04_S148_comb","Mel81","Mal","treatment.naive","Tirosh",7206,204837
"Cy80_II_CD45_D11_S911_comb","Mel80","Mal","treatment.naive","Tirosh",7098,163706
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb","Mel79","Mal","treatment.naive","Tirosh",5438,54290
"cy78_CD45_neg_1_E03_S531_comb","Mel78","Mal","post.treatment","Tirosh",5052,86657
"CY88_3_C10_S610_comb","Mel88","Mal","post.treatment","Tirosh",6687,409749
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb","Mel79","Mal","treatment.naive","Tirosh",3865,176963
"cy78_CD45_neg_1_E07_S535_comb","Mel78","Mal","post.treatment","Tirosh",6901,138179
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb","Mel79","Mal","treatment.naive","Tirosh",5850,91853
"CY89NEG_G01_S73_comb","Mel89","Mal","treatment.naive","Tirosh",5924,373183
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb","Mel79","Mal","treatment.naive","Tirosh",6001,134922
"cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb","Mel79","Mal","treatment.naive","Tirosh",6615,338979
"cy81_FNA_CD45_neg_F09_S1029_comb","Mel81","Mal","treatment.naive","Tirosh",7912,291038
"cy78_CD45_neg_2_C06_S606_comb","Mel78","Mal","post.treatment","Tirosh",3398,23194
"Cy81_FNA_CD45_G10_S370_comb","Mel81","Mal","treatment.naive","Tirosh",2821,10836
"Cy71_CD45_E11_S539_comb","Mel71","Mal","treatment.naive","Tirosh",4925,210318
"CY88_5_D11_S719_comb","Mel88","Mal","post.treatment","Tirosh",6780,237637
"cy82_CD45_pos_2_D11_S527_comb","Mel82","?","treatment.naive","Tirosh",5150,167233
"CY89FNAQ2_F06_S450_comb","Mel89","Mal","treatment.naive","Tirosh",8202,500020
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb","Mel79","Mal","treatment.naive","Tirosh",6345,94466
"cy78_CD45_neg_3_G02_S746_comb","Mel78","Mal","post.treatment","Tirosh",7567,478827
"Cy81_FNA_CD45_C09_S321_comb","Mel81","Mal","treatment.naive","Tirosh",7589,236522
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb","Mel79","Mal","treatment.naive","Tirosh",7319,97258
"cy78_CD45_neg_1_B02_S494_comb","Mel78","Mal","post.treatment","Tirosh",8130,294353
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb","Mel79","Mal","treatment.naive","Tirosh",5496,103466
"cy80_CD45_neg_D04_S904_comb","Mel80","Mal","treatment.naive","Tirosh",7774,131854
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb","Mel79","Mal","treatment.naive","Tirosh",5660,69667
"cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb","Mel79","Mal","treatment.naive","Tirosh",4645,354250
"cy80_CD45_neg_E02_S914_comb","Mel80","Mal","treatment.naive","Tirosh",5766,33436
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb","Mel79","Mal","treatment.naive","Tirosh",4353,58536
"cy78_CD45_neg_1_H07_S571_comb","Mel78","Mal","post.treatment","Tirosh",6035,127235
"Cy80_II_CD45_G07_S943_comb","Mel80","Mal","treatment.naive","Tirosh",5909,49891
"cy78_CD45_neg_1_F06_S546_comb","Mel78","Mal","post.treatment","Tirosh",6791,144931
"cy81_FNA_CD45_neg_E04_S1012_comb","Mel81","Mal","treatment.naive","Tirosh",7442,142010
"cy81_Bulk_CD45_neg_E04_S148_comb","Mel81","Mal","treatment.naive","Tirosh",4496,252729
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb","Mel79","Mal","treatment.naive","Tirosh",5891,79978
"cy81_Bulk_CD45_neg_C11_S131_comb","Mel81","Mal","treatment.naive","Tirosh",9314,145569
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb","Mel79","Mal","treatment.naive","Tirosh",5890,232508
"cy81_Bulk_CD45_neg_D09_S141_comb","Mel81","Mal","treatment.naive","Tirosh",7037,165323
"Cy71_CD45_G08_S560_comb","Mel71","Mal","treatment.naive","Tirosh",3980,32936
"CY89CORE11_A04_S100_comb","Mel89","Mal","treatment.naive","Tirosh",6918,293857
"cy80_CD45_neg_G02_S938_comb","Mel80","Mal","treatment.naive","Tirosh",7821,141152
"CY88_5_H03_S759_comb","Mel88","Mal","post.treatment","Tirosh",7148,285818
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb","Mel79","Mal","treatment.naive","Tirosh",5962,111338
"CY88_5_E04_S724_comb","Mel88","Mal","post.treatment","Tirosh",4165,219964
"CY89NEG_H11_S95_comb","Mel89","Mal","treatment.naive","Tirosh",6173,255980
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb","Mel79","Mal","treatment.naive","Tirosh",5362,239990
"cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb","Mel79","Mal","treatment.naive","Tirosh",4281,64309
"cy82_CD45_pos_3_B11_S23_comb","Mel82","?","treatment.naive","Tirosh",10512,462384
"cy81_FNA_CD45_neg_F08_S1028_comb","Mel81","Mal","treatment.naive","Tirosh",8761,252730
"CY88_3_D07_S619_comb","Mel88","Mal","post.treatment","Tirosh",7931,547794
"cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb","Mel79","Mal","treatment.naive","Tirosh",4745,114447
"CY88_3_G09_S657_comb","Mel88","Mal","post.treatment","Tirosh",7092,278334
"cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb","Mel79","Mal","treatment.naive","Tirosh",3840,68201
"CY88_5_H08_S764_comb","Mel88","Mal","post.treatment","Tirosh",7501,384215
"cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb","Mel79","Mal","treatment.naive","Tirosh",4407,149889
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D10_S334_comb","Mel79","?","treatment.naive","Tirosh",3086,50239
"cy81_FNA_CD45_neg_G12_S1044_comb","Mel81","Mal","treatment.naive","Tirosh",4097,72347
"CY88_3_B04_S592_comb","Mel88","Mal","post.treatment","Tirosh",6591,406827
"cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb","Mel79","Mal","treatment.naive","Tirosh",5228,260920
"Cy71_CD45_F06_S546_comb","Mel71","Mal","treatment.naive","Tirosh",4719,150976
"cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb","Mel79","Mal","treatment.naive","Tirosh",4701,112895
"cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb","Mel79","Mal","treatment.naive","Tirosh",4792,64393
"cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb","Mel79","Mal","treatment.naive","Tirosh",6850,375455
"cy53_1_CD45_neg_B02_S302_comb","Mel53","Mal","treatment.naive","Tirosh",5383,70216
"CY89NEG_F05_S65_comb","Mel89","Mal","treatment.naive","Tirosh",6335,320025
"cy80_CD45_neg_H08_S956_comb","Mel80","Mal","treatment.naive","Tirosh",7410,82816
"Cy81_Bulk_CD45_D01_S133_comb","Mel81","?","treatment.naive","Tirosh",6992,750577
"cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb","Mel79","Mal","treatment.naive","Tirosh",5162,280063
"Cy81_Bulk_CD45_D10_S142_comb","Mel81","Mal","treatment.naive","Tirosh",9554,318336
"CY89NEG_F07_S67_comb","Mel89","Mal","treatment.naive","Tirosh",5122,235434
"cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb","Mel79","Mal","treatment.naive","Tirosh",4232,64142
"cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb","Mel79","Mal","treatment.naive","Tirosh",2779,13061
"cy82_CD45_pos_2_B03_S495_comb","Mel82","?","treatment.naive","Tirosh",9012,472872
"cy78_CD45_neg_1_A04_S484_comb","Mel78","Mal","post.treatment","Tirosh",8092,461572
"Cy81_FNA_CD45_C05_S317_comb","Mel81","Mal","treatment.naive","Tirosh",5609,218953
"Cy80_II_CD45_B01_S877_comb","Mel80","Mal","treatment.naive","Tirosh",6089,160632
"CY89CORE11_E10_S154_comb","Mel89","Mal","treatment.naive","Tirosh",6314,319362
"cy81_Bulk_CD45_neg_E02_S146_comb","Mel81","Endo.","treatment.naive","Tirosh",6154,416093
"cy80_CD45_neg_A05_S869_comb","Mel80","Mal","treatment.naive","Tirosh",3620,31148
"cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb","Mel79","Mal","treatment.naive","Tirosh",2618,19816
"cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb","Mel79","Mal","treatment.naive","Tirosh",5019,339816
"CY89NEG_E06_S54_comb","Mel89","Mal","treatment.naive","Tirosh",6115,456901
"cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb","Mel79","Mal","treatment.naive","Tirosh",4786,93938
"CY88_3_A10_S586_comb","Mel88","Mal","post.treatment","Tirosh",5774,221121
"CY88CD45POS_7_C07_S223_comb","Mel88","Macrophage","post.treatment","Tirosh",7234,473502
"CY89FNAQ2_G07_S463_comb","Mel89","Mal","treatment.naive","Tirosh",8179,464709
"cy80_CD45_neg_F05_S929_comb","Mel80","Mal","treatment.naive","Tirosh",5190,24359
"Cy81_Bulk_CD45_G12_S180_comb","Mel81","Mal","treatment.naive","Tirosh",8971,371406
"cy81_FNA_CD45_neg_F06_S1026_comb","Mel81","Mal","treatment.naive","Tirosh",8367,266917
"cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb","Mel79","Mal","treatment.naive","Tirosh",4495,247047
"cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb","Mel79","Mal","treatment.naive","Tirosh",7261,215089
"cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb","Mel79","Mal","treatment.naive","Tirosh",3719,97463
"cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb","Mel79","Mal","treatment.naive","Tirosh",5133,208006
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb","Mel79","Mal","treatment.naive","Tirosh",3607,109164
"cy78_CD45_neg_1_H08_S572_comb","Mel78","Mal","post.treatment","Tirosh",4608,75056
"CY89CORE11_B04_S112_comb","Mel89","Mal","treatment.naive","Tirosh",6202,526346
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb","Mel79","Mal","treatment.naive","Tirosh",5530,65639
"cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb","Mel79","Mal","treatment.naive","Tirosh",5203,307507
"cy78_CD45_neg_1_F02_S542_comb","Mel78","Mal","post.treatment","Tirosh",8000,198959
"CY89CORE11_A05_S101_comb","Mel89","Mal","treatment.naive","Tirosh",6974,336433
"CY89CORE11_B06_S114_comb","Mel89","Mal","treatment.naive","Tirosh",7146,467643
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb","Mel79","Mal","treatment.naive","Tirosh",7184,135584
"cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb","Mel79","Mal","treatment.naive","Tirosh",3279,82036
"cy78_CD45_neg_3_G07_S751_comb","Mel78","Mal","post.treatment","Tirosh",5497,191816
"CY89NEG_A06_S6_comb","Mel89","Mal","treatment.naive","Tirosh",6532,376584
"cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb","Mel79","Mal","treatment.naive","Tirosh",5344,185464
"Cy81_FNA_CD45_F02_S350_comb","Mel81","Mal","treatment.naive","Tirosh",5755,299078
"cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb","Mel79","Mal","treatment.naive","Tirosh",3656,61685
"CY89CORE11_D09_S141_comb","Mel89","Mal","treatment.naive","Tirosh",5438,137430
"cy78_CD45_neg_1_F10_S550_comb","Mel78","Mal","post.treatment","Tirosh",8667,207193
"cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb","Mel79","Mal","treatment.naive","Tirosh",2445,7932
"cy81_FNA_CD45_neg_H09_S1053_comb","Mel81","Mal","treatment.naive","Tirosh",2630,6726
"cy78_CD45_neg_3_E05_S725_comb","Mel78","Mal","post.treatment","Tirosh",2586,8196
"cy78_CD45_neg_1_H04_S568_comb","Mel78","Mal","post.treatment","Tirosh",6197,220190
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb","Mel79","Mal","treatment.naive","Tirosh",5685,150898
"CY89FNAQ2_B02_S398_comb","Mel89","Mal","treatment.naive","Tirosh",6480,359099
"Cy71_CD45_H06_S570_comb","Mel71","Mal","treatment.naive","Tirosh",4796,153931
"cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb","Mel79","Mal","treatment.naive","Tirosh",5228,251557
"CY88_5_B12_S696_comb","Mel88","Mal","post.treatment","Tirosh",5023,245006
"CY88_3_H10_S670_comb","Mel88","Mal","post.treatment","Tirosh",6185,263832
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb","Mel79","Mal","treatment.naive","Tirosh",3794,31811
"CY89FNAQ2_C04_S412_comb","Mel89","Mal","treatment.naive","Tirosh",6757,339847
"cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb","Mel79","Mal","treatment.naive","Tirosh",4559,89224
"Cy80_II_CD45_B09_S885_comb","Mel80","Mal","treatment.naive","Tirosh",5152,104234
"cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb","Mel79","Mal","treatment.naive","Tirosh",4470,120033
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G02_S170_comb","Mel79","Mal","treatment.naive","Tirosh",5500,62632
"cy79_p3_CD45_neg_PDL1_neg_E05_S245_comb","Mel79","Mal","treatment.naive","Tirosh",2999,25560
"CY88_5_H05_S761_comb","Mel88","Mal","post.treatment","Tirosh",5335,59761
"Cy81_FNA_CD45_H12_S384_comb","Mel81","Mal","treatment.naive","Tirosh",8769,75597
"cy79_p5_CD45_neg_PDL1_neg_G04_S844_comb","Mel79","Mal","treatment.naive","Tirosh",3693,80078
"CY88_5_D08_S716_comb","Mel88","Mal","post.treatment","Tirosh",7262,350801
"cy79_p4_CD45_neg_PDL1_pos_B11_S407_comb","Mel79","Mal","treatment.naive","Tirosh",4827,136278
"cy79_p3_CD45_neg_PDL1_neg_B11_S215_comb","Mel79","Mal","treatment.naive","Tirosh",4745,76839
"CY88_3_B12_S600_comb","Mel88","Mal","post.treatment","Tirosh",6467,334165
"cy81_FNA_CD45_neg_F02_S1022_comb","Mel81","Mal","treatment.naive","Tirosh",7961,278122
"cy79_p4_CD45_neg_PDL1_pos_D05_S425_comb","Mel79","Mal","treatment.naive","Tirosh",4014,138839
"cy94_cd45neg_cd90pos_A11_S299_comb","Mel94","Mal","post.treatment","Tirosh",3212,23205
"cy60_1_cd_45_neg_3_F06_S546_comb","Mel60","Mal","post.treatment","Tirosh",5354,171634
"cy79_p4_CD45_neg_PDL1_pos_D01_S421_comb","Mel79","Mal","treatment.naive","Tirosh",4490,153264
"CY88_5_D10_S718_comb","Mel88","Mal","post.treatment","Tirosh",6107,1633077
"CY89NEG_H06_S90_comb","Mel89","Mal","treatment.naive","Tirosh",5258,139926
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H03_S375_comb","Mel79","Mal","treatment.naive","Tirosh",4872,91984
"Cy81_Bulk_CD45_E08_S152_comb","Mel81","Mal","treatment.naive","Tirosh",7437,523925
"CY89FNAQ2_H03_S471_comb","Mel89","Mal","treatment.naive","Tirosh",5612,80972
"cy79_p4_CD45_neg_PDL1_neg_H09_S1149_comb","Mel79","Mal","treatment.naive","Tirosh",4904,109071
"cy81_FNA_CD45_neg_B04_S976_comb","Mel81","Mal","treatment.naive","Tirosh",7827,199141
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F11_S167_comb","Mel79","Mal","treatment.naive","Tirosh",4347,36313
"cy79_p4_CD45_neg_PDL1_neg_F03_S1119_comb","Mel79","Mal","treatment.naive","Tirosh",4617,209627
"cy79_p4_CD45_neg_PDL1_pos_C04_S412_comb","Mel79","Mal","treatment.naive","Tirosh",4280,135907
"Cy80_II_CD45_G09_S945_comb","Mel80","Mal","treatment.naive","Tirosh",5214,98039
"cy79_p5_CD45_neg_PDL1_pos_G05_S749_comb","Mel79","Mal","treatment.naive","Tirosh",4275,65544
"cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb","Mel79","Mal","treatment.naive","Tirosh",4502,146475
"cy82_CD45_pos_3_C11_S35_comb","Mel82","?","treatment.naive","Tirosh",4868,62568
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C04_S316_comb","Mel79","Mal","treatment.naive","Tirosh",5285,121374
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F06_S162_comb","Mel79","Mal","treatment.naive","Tirosh",5418,38755
"CY88_3_C12_S612_comb","Mel88","Mal","post.treatment","Tirosh",5697,205536
"Cy80_II_CD45_D09_S909_comb","Mel80","Mal","treatment.naive","Tirosh",5724,140088
"cy81_FNA_CD45_neg_E12_S1020_comb","Mel81","Mal","treatment.naive","Tirosh",5831,96460
"cy78_CD45_neg_3_G09_S753_comb","Mel78","Mal","post.treatment","Tirosh",7753,485417
"cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb","Mel79","Mal","treatment.naive","Tirosh",3944,48403
"cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb","Mel79","Mal","treatment.naive","Tirosh",4528,171530
"cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb","Mel79","Mal","treatment.naive","Tirosh",3195,23759
"Cy71_CD45_D11_S527_comb","Mel71","Mal","treatment.naive","Tirosh",5258,149673
"cy80_CD45_neg_D03_S903_comb","Mel80","Mal","treatment.naive","Tirosh",7586,108588
"cy78_CD45_neg_1_B08_S500_comb","Mel78","Mal","post.treatment","Tirosh",7969,402276
